input_raw,rxnorm_rxcui,rxnorm_name,rxnorm_tty,atc_l1_code,atc_l1_name,atc_l2_code,atc_l2_name,atc_l3_code,atc_l3_name,atc_l4_code,atc_l4_name
leflunomida,27169.0,leflunomide,IN,L,,L04,,L04A,,L04AK,Dihydroorotate dehydrogenase (DHODH) inhibitors
neurobion,198440.0,acetaminophen 500 MG Oral Tablet,SCD,N,,N02,,N02B,,N02BE,Anilides
rosuvastatina mg tab,301542.0,rosuvastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
metformina mg d,1358998.0,Zephrex-D,BN,R,,R01,,R01B,,R01BA,Sympathomimetics
oxacarbazepina,32624.0,oxcarbazepine,IN,N,,N03,,N03A,,N03AF,Carboxamide derivatives
pregabalina lyrca,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
hidroclorotizida,,,,,,,,,,,
neosalidne,,,,,,,,,,,
gotas oculares,476710.0,hydroxypropylcellulose Drug Implant,SCDF,S,,S01,,S01X,,S01XA,Other ophthalmologicals
escilatopram mg dia,321988.0,escitalopram,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
tranexam tab dia,374181.0,tranexamic acid Oral Tablet,SCDF,B,,B02,,B02A,,B02AA,Amino acids
naturista membrasin,581662.0,ethanol 0.7 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
jardiance duo,1545659.0,Jardiance,BN,A,,A10,,A10B,,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
buscapina fem,2590818.0,Fem Choice,BN,G,,G03,,G03A,,G03AC,Progestogens
analgesicos aines tramadol tapentadol,787390.0,tapentadol,IN,N,,N02,,N02A,,N02AX,Other opioids
somatropina mg,61148.0,somatropin,IN,H,,H01,,H01A,,H01AC,Somatropin and somatropin agonists
sumatriptam,37418.0,sumatriptan,IN,N,,N02,,N02C,,N02CC,Selective serotonin (5HT1) agonists
ginorel,,,,,,,,,,,
dolutegravir,1433868.0,dolutegravir,IN,J,,J05,,J05A,,J05AJ,Integrase inhibitors
vit d sumatriptan naproxeno,797426.0,naproxen / sumatriptan,MIN,N,,N02,,N02C,,N02CC,Selective serotonin (5HT1) agonists
enalapril hctz,214536.0,enalapril / hydrochlorothiazide,MIN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
dulexitna,,,,,,,,,,,
carvedilol mg c,20352.0,carvedilol,IN,C,,C07,,C07A,,C07AG,Alpha and beta blocking agents
vit c omega,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
nodol forte,202844.0,Pred Forte,BN,S,,S01,,S01B,,S01BA,"Corticosteroids, plain"
loratadina segun sintomas alergicos,28889.0,loratadine,IN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
levotiroxina ug dia,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
genboya,1721614.0,Genvoya,BN,V,,V03,,V03A,,V03AX,Other therapeutic products
sforge,,,,,,,,,,,
metrillene,,,,,,,,,,,
apaglutamida,1999574.0,apalutamide,IN,L,,L02,,L02B,,L02BB,Anti-androgens
clobazam,21241.0,clobazam,IN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
trimebutin,10819.0,trimebutine,IN,A,,A03,,A03A,,A03AA,"Synthetic anticholinergics, esters with tertiary amino group"
levotiroxina mcgcada dia,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
cramberry vitamina,125933.0,cranberry preparation,IN,,,,,,,,
prednisolona x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
sertralina mg,36437.0,sertraline,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
trazadona mg,10737.0,trazodone,IN,N,,N06,,N06A,,N06AX,Other antidepressants
afrin pediatrico spray nasal cada hors dias,361926.0,oxymetazoline Nasal Spray [Afrin],SBDF,R,,R01,,R01A,,R01AA,"Sympathomimetics, plain"
ilbersartan x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
apidra,607583.0,Apidra,BN,A,,A10,,A10A,,A10AB,"Insulins and analogues for injection, fast-acting"
glutamen,70602.0,glutamate,IN,B,,B05,,B05B,,B05BA,Solutions for parenteral nutrition
escitalopram x mgs,321988.0,escitalopram,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
insulina,253182.0,"insulin, regular, human",IN,A,,A10,,A10A,,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
valsartan amlodipino,729455.0,amlodipine / valsartan,MIN,C,,C08,,C08C,,C08CA,Dihydropyridine derivatives
candesartan mg cada hs,214354.0,candesartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
esomeprazol x,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
midodrina mg,6963.0,midodrine,IN,C,,C01,,C01C,,C01CA,Adrenergic and dopaminergic agents
acetamnofen codeina,2670.0,codeine,IN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
medrol cellcept,152633.0,Cellcept,BN,L,,L04,,L04A,,L04AA,Selective immunosuppressants
natel,352790.0,Natelle,BN,A,,A11,,A11G,,A11GA,"Ascorbic acid (vitamin C), plain"
fluoxetina mg dia,4493.0,fluoxetine,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
dianogest estradiol mg,994203.0,dienogest / estradiol,MIN,G,,G03,,G03D,,G03DB,Pregnadien derivatives
deflaxacort,22396.0,deflazacort,IN,H,,H02,,H02A,,H02AB,Glucocorticoids
gestvit,,,,,,,,,,,
concord,901191.0,Concord grape allergenic extract,IN,,,,,,,,
lamitan x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
inmunocal,,,,,,,,,,,
apixaban x mgs,1364430.0,apixaban,IN,B,,B01,,B01A,,B01AF,Direct factor Xa inhibitors
anstazol,,,,,,,,,,,
madupar x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
bladuril,,,,,,,,,,,
flunarizina,4459.0,flunarizine,IN,N,,N07,,N07C,,N07CA,Antivertigo preparations
milanta ocasional,1040045.0,Milantex,BN,A,,A02,,A02A,,A02AF,Antacids with antiflatulents
tolak,1669869.0,Tolak,BN,L,,L01,,L01B,,L01BC,Pyrimidine analogues
cefadroxilo clindamicina,2177.0,cefadroxil,IN,J,,J01,,J01D,,J01DB,First-generation cephalosporins
nignuna,,,,,,,,,,,
anillo cervical planificacion,215960.0,Cervidil,BN,G,,G02,,G02A,,G02AD,Prostaglandins
tribumet,,,,,,,,,,,
salbutamol ocasional,435.0,albuterol,IN,R,,R03,,R03A,,R03AC,Selective beta-2-adrenoreceptor agonists
iversartan,,,,,,,,,,,
desloratadina ocasional,275635.0,desloratadine,IN,R,,R01,,R01B,,R01BA,Sympathomimetics
desvelafaxina,734064.0,desvenlafaxine,IN,N,,N06,,N06A,,N06AX,Other antidepressants
biotina colageno,1588.0,biotin,IN,B,,B03,,B03A,,B03AE,Iron in other combinations
alpurinol,519.0,allopurinol,IN,M,,M04,,M04A,,M04AA,Preparations inhibiting uric acid production
losartan mg x dia,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
medss,1090846.0,Medi-Lyte,BN,A,,A12,,A12A,,A12AA,Calcium
colageno suplementos vitaminas,2714.0,collagen,IN,A,,A11,,A11G,,A11GB,"Ascorbic acid (vitamin C), combinations"
prednisolona mg diarios,8638.0,prednisolone,IN,H,,H02,,H02A,,H02AB,Glucocorticoids
vitmina d,11253.0,vitamin D,IN,,,,,,,,
enzimas difestivas,1310754.0,inulin 200 MG / Lacticaseibacillus rhamnosus GG 10000000000 UNT Oral Capsule,SCD,,,,,,,,
hiperlipem,,,,,,,,,,,
vitamix,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
acido fenofibrico rosuvastatina,301542.0,rosuvastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
calcio hierro,90176.0,iron,IN,,,,,,,,
pregabalina mg dia,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
betahistina,1511.0,betahistine,IN,N,,N07,,N07C,,N07CA,Antivertigo preparations
naramig,1049906.0,diphenhydramine hydrochloride 2.5 MG/ML Oral Solution,SCD,R,,R06,,R06A,,R06AA,Aminoalkyl ethers
amlodipino losartan,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
hiderax ivermectina,6069.0,ivermectin,IN,P,,P02,,P02C,,P02CF,Avermectines
telmisartan mg dia,73494.0,telmisartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
solucion citrato,2645817.0,caffeine citrate Oral Solution,SCDFP,N,,N06,,N06B,,N06BC,Xanthine derivatives
exenatide bydureon mg sc semanal,1653614.0,exenatide Injection [Bydureon],SBDF,A,,A10,,A10B,,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
glucophage x mgs,151827.0,Glucophage,BN,A,,A10,,A10B,,A10BA,Biguanides
sinalgen ocasinal,,,,,,,,,,,
vilaxten,,,,,,,,,,,
fluticazona,41126.0,fluticasone,IN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
eutirox mcgs dia,217006.0,Euthyrox,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
torteradina,,,,,,,,,,,
ergotamina cafeina,4025.0,ergotamine,IN,N,,N02,,N02C,,N02CA,Ergot alkaloids
peg gr dia,1310594.0,polyethylene glycol 4000,IN,,,,,,,,
pregabalina dolor hombro izquierdo,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
irversatan,,,,,,,,,,,
seterizina,,,,,,,,,,,
latanoprox,43611.0,latanoprost,IN,S,,S01,,S01E,,S01EE,Prostaglandin analogues
migranon,892526.0,cashew nut allergenic extract,IN,V,,V01,,V01A,,V01AA,Allergen extracts
imipramina sertralina,5691.0,imipramine,IN,N,,N06,,N06A,,N06AA,Non-selective monoamine reuptake inhibitors
acta mnofen codeina,2670.0,codeine,IN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
picolonato,33684.0,picolinic acid,IN,,,,,,,,
sultamicilina,1009148.0,ampicillin / sulbactam,MIN,J,,J01,,J01C,,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
leovotiroxina,,,,,,,,,,,
clortalidona mg,2409.0,chlorthalidone,IN,C,,C09,,C09D,,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics
venlafaxina mg,39786.0,venlafaxine,IN,N,,N06,,N06A,,N06AX,Other antidepressants
loratadina vit d,11253.0,vitamin D,IN,,,,,,,,
hierro parenteral ultimo hace dias,90176.0,iron,IN,,,,,,,,
levotiroxina mcg cada manana,285149.0,banana extract,IN,,,,,,,,
pantorpazol,40790.0,pantoprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
alerpax,,,,,,,,,,,
avodart,352453.0,Avodart,BN,G,,G04,,G04C,,G04CB,Testosterone-5-alpha reductase inhibitors
alginato,1370451.0,alginate,IN,,,,,,,,
ciproheptadina,3013.0,cyproheptadine,IN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
actaminofen ocasional,,,,,,,,,,,
pregabalinax mgs,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
metoprolol x mgs,6918.0,metoprolol,IN,C,,C07,,C07F,,C07FB,Beta blocking agents and calcium channel blockers
memantina modualz mg dia,6719.0,memantine,IN,N,,N06,,N06D,,N06DA,Anticholinesterases
ritmonorm,,,,,,,,,,,
everivimus,141704.0,everolimus,IN,L,,L04,,L04A,,L04AH,Mammalian target of rapamycin (mTOR) kinase inhibitors
analgesicos aocasionales,998598.0,Analgesic Balm GRX,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
gotaforte analgesico naturista,998598.0,Analgesic Balm GRX,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
dolex gripa,2598449.0,Dodex,BN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
reflufin,,,,,,,,,,,
diovan x mgs,216652.0,Diovan,BN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
biologico,2637767.0,beremagene geperpavec-svdt 5000000000 UNT/ML Topical Suspension [Vyjuvek],SBD,D,,D03,,D03A,,D03AX,Other cicatrizants
tenofovir,117466.0,tenofovir,IN,,,,,,,,
medicamentos naturales,1089808.0,Tears Naturale PM,BN,S,,S01,,S01X,,S01XA,Other ophthalmologicals
actaminofen,,,,,,,,,,,
aspirina efervecente ocasional,198471.0,aspirin 500 MG Oral Tablet,SCD,A,,A01,,A01A,,A01AD,Other agents for local oral treatment
concor,901191.0,Concord grape allergenic extract,IN,,,,,,,,
isoklon,,,,,,,,,,,
naturales gastritis,1089808.0,Tears Naturale PM,BN,S,,S01,,S01X,,S01XA,Other ophthalmologicals
asomeprzol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
ac tranexamico tto dermatologico,10691.0,tranexamic acid,IN,B,,B02,,B02A,,B02AA,Amino acids
xatral,356728.0,UroXatral,BN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
slinda,10237.0,sulindac,IN,M,,M01,,M01A,,M01AB,Acetic acid derivatives and related substances
ibuprofeno cafeina,5640.0,ibuprofen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
losartan hctz x,214619.0,hydrochlorothiazide / losartan,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
clonidina mcg dia,2599.0,clonidine,IN,C,,C02,,C02A,,C02AC,Imidazoline receptor agonists
sertralina mg dia patologia orl,36437.0,sertraline,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
toma medicamento dormir recuerda,1919068.0,Dormin,BN,R,,R06,,R06A,,R06AA,Aminoalkyl ethers
atorvastatina levotiroxina,83367.0,atorvastatin,IN,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
sulfato fe,152364.0,Slow-Fe,BN,B,,B03,,B03A,,B03AA,"Iron bivalent, oral preparations"
amlodipino mg am,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
beclometasona nasal oral,370992.0,beclomethasone Nasal Spray,SCDF,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
dutasteride tamsulosina,1001472.0,dutasteride / tamsulosin,MIN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
olanzapina,61381.0,olanzapine,IN,N,,N05,,N05A,,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
facetix,,,,,,,,,,,
enalpril,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
ibersartan mg x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
negada,1039339.0,ethanol 0.8 ML/ML Topical Solution,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
losartan hidroclorotiazida,214619.0,hydrochlorothiazide / losartan,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
fenila,,,,,,,,,,,
deferol,37744.0,teferrol,IN,,,,,,,,
alfozosina,17300.0,alfuzosin,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
solufsos,,,,,,,,,,,
linaglutide,475968.0,liraglutide,IN,A,,A10,,A10B,,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
multiviaminico,,,,,,,,,,,
periactin,2656288.0,cyproheptadine hydrochloride Oral Solution [Periactin],SBDFP,,,,,,,,
bromazepam anos mg dia,1749.0,bromazepam,IN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
enalapril amlodipino,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
norfloxacina ocasional,7517.0,norfloxacin,IN,J,,J01,,J01M,,J01MA,Fluoroquinolones
sucrlfate,10156.0,sucralfate,IN,A,,A02,,A02B,,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
vitaminas vitabiosa,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
traumel vo,,,,,,,,,,,
centrum woman,1376087.0,Cestrum latifolium leaf extract,IN,,,,,,,,
mirapex,218402.0,Mirapex,BN,N,,N04,,N04B,,N04BC,Dopamine agonists
insulina degludec ui,1670007.0,insulin degludec,IN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
protector gastrico,1432144.0,Worm Protector 2X,BN,P,,P02,,P02C,,P02CC,Tetrahydropyrimidine derivatives
tretinova,10753.0,tretinoin,IN,D,,D10,,D10A,,D10AD,Retinoids for topical use in acne
atb infeccion vaginal,1312370.0,"human sputum, Bordetella pertussis infected",IN,,,,,,,,
valsartan cada dia,69749.0,valsartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
cefalexina dias hoy,2231.0,cephalexin,IN,J,,J01,,J01D,,J01DB,First-generation cephalosporins
carbamazepina cada dia,2002.0,carbamazepine,IN,N,,N03,,N03A,,N03AF,Carboxamide derivatives
cefalexina mg x dia,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
propanolol mg dia,8787.0,propranolol,IN,C,,C07,,C07A,,C07AA,"Beta blocking agents, non-selective"
valsartan mg dia,69749.0,valsartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
acetamionfen cafeina,1886.0,caffeine,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
atorvsatatina,83367.0,atorvastatin,IN,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
losartan mg qd,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
olmesartan amlodipino,1009015.0,amlodipine / olmesartan,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
empaglifozina metformina,6809.0,metformin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
gingo biloa,236809.0,Ginkgo biloba extract,IN,,,,,,,,
fluticasona spray,1797889.0,fluticasone Metered Dose Nasal Spray,SCDF,R,,R01,,R01A,,R01AD,Corticosteroids
sulfato ferroso acido folico vitamina b,4511.0,folic acid,IN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
acido folico multivitaminico,4511.0,folic acid,IN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
selenio,36344.0,selenious acid,IN,,,,,,,,
rosuvastatina x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
ilbesartan,83818.0,irbesartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
metformina mgs,6809.0,metformin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
migradorixina,,,,,,,,,,,
zopiclona mg,40001.0,zopiclone,IN,N,,N05,,N05C,,N05CF,Benzodiazepine related drugs
clotrimazol,2623.0,clotrimazole,IN,D,,D01,,D01A,,D01AC,Imidazole and triazole derivatives
solfato ferroso,1310708.0,ferrosoferric oxide,IN,,,,,,,,
fe ms vitaminas,203354.0,MS Contin,BN,N,,N02,,N02A,,N02AA,Natural opium alkaloids
efezor,,,,,,,,,,,
budesonida inh,19831.0,budesonide,IN,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
hemositon jarabe,1014005.0,dextromethorphan hydrobromide 0.667 MG/ML / guaifenesin 13.3 MG/ML Oral Solution,SCD,R,,R05,,R05F,,R05FA,Opium derivatives and expectorants
allegra suspendido,324026.0,Allegra,BN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
naproxeno buscapina,7258.0,naproxen,IN,M,,M01,,M01A,,M01AE,Propionic acid derivatives
levotiroxian mcg,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
atb gotas oftalmicas,2688947.0,250 ML dibasic potassium phosphate 4.72 MG/ML / monobasic potassium phosphate 4.48 MG/ML Injection,SCD,B,,B05,,B05B,,B05BB,Solutions affecting the electrolyte balance
bromuro ipatropi,203212.0,ipratropium bromide,PIN,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
cetirizin ocasional,20610.0,cetirizine,IN,R,,R06,,R06A,,R06AE,Piperazine derivatives
gotas homeopaticas manzanilla,285167.0,Urtica urens homeopathic preparation,IN,,,,,,,,
belastina,1730435.0,elastin,IN,,,,,,,,
cialis mg,303263.0,Cialis,BN,G,,G04,,G04B,,G04BE,Drugs used in erectile dysfunction
dupilumac mcg cada dias,1876376.0,dupilumab,IN,D,,D11,,D11A,,D11AH,"Agents for dermatitis, excluding corticosteroids"
amlodino perindocril,54552.0,perindopril,IN,C,,C09,,C09B,,C09BB,ACE inhibitors and calcium channel blockers
actualmente,,,,,,,,,,,
inmunoglobulina sc,1426454.0,immunoglobulin A,IN,,,,,,,,
engados,,,,,,,,,,,
undecanoato testosterona,37864.0,testosterone undecanoate,PIN,G,,G03,,G03B,,G03BA,3-oxoandrosten (4) derivatives
gotas oido,631799.0,isopropyl alcohol 0.95 ML/ML Otic Solution,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
enalaril,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
valsartan mhs,69749.0,valsartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
esteroide nasal noche,2720028.0,menthol 0.0035 MG/MG / petrolatum 0.797 MG/MG / zinc oxide 0.05 MG/MG Rectal Ointment,SCD,D,,D02,,D02A,,D02AB,Zinc products
nitrofurantoina x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
dapaglifozina x insulina glargina x isosorbide,274783.0,insulin glargine,IN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
trazadone,10737.0,trazodone,IN,N,,N06,,N06A,,N06AX,Other antidepressants
hipotensoor colitrio,2531134.0,{4 (0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen 80 MG/0.8 ML - Starter Package for Pediatric Ulcerative Colitis],BPCK,L,,L04,,L04A,,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors
atorvastatia,83367.0,atorvastatin,IN,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
avamys rinitis,1421432.0,Barleria prionitis whole extract,IN,,,,,,,,
acetato ulipristal,1005920.0,ulipristal acetate,PIN,G,,G03,,G03A,,G03AD,Emergency contraceptives
mesazalasina,,,,,,,,,,,
digabatrina,14851.0,vigabatrin,IN,N,,N03,,N03A,,N03AG,Fatty acid derivatives
filgrastrim,68442.0,filgrastim,IN,L,,L03,,L03A,,L03AA,Colony stimulating factors
tramadol ocasional segun dolor,10689.0,tramadol,IN,N,,N02,,N02A,,N02AX,Other opioids
tamsulocina,77492.0,tamsulosin,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
antibiotico recuerda nombre,2716737.0,Bactine Antibiotic,BN,D,,D06,,D06A,,D06AX,Other antibiotics for topical use
propoanlol,8787.0,propranolol,IN,C,,C07,,C07A,,C07AA,"Beta blocking agents, non-selective"
metrinelli,,,,,,,,,,,
etarnecet,,,,,,,,,,,
ao donabella,545626.0,sodium monofluorophosphate 0.0076 MG/MG Toothpaste,SCD,A,,A01,,A01A,,A01AA,Caries prophylactic agents
suplemento dietario aminoacidos,827349.0,Bifidobacterium infantis 4 MG Oral Capsule [Align],SBD,,,,,,,,
teriparatida,32915.0,teriparatide,IN,H,,H05,,H05A,,H05AA,Parathyroid hormones and analogues
norvas,58927.0,Norvasc,BN,C,,C08,,C08C,,C08CA,Dihydropyridine derivatives
toxifeno,,,,,,,,,,,
ainex ocasional,219922.0,Sinex Long-Acting,BN,R,,R01,,R01A,,R01AA,"Sympathomimetics, plain"
tto alopecia,219462.0,Propecia,BN,G,,G04,,G04C,,G04CB,Testosterone-5-alpha reductase inhibitors
medicacion osteoporis,,,,,,,,,,,
vidagliptina metformina,596554.0,vildagliptin,IN,A,,A10,,A10B,,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
medicacion hiperactividad vesical,539812.0,Vesicare,BN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
valsartan mg cada h,69749.0,valsartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
anemidox acido folico,4511.0,folic acid,IN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
jarabe tos,1992047.0,Wong To Yick,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
exedrin,217020.0,Excedrin,BN,A,,A01,,A01A,,A01AD,Other agents for local oral treatment
symbicort cada h formoterol budesonida,745810.0,budesonide / formoterol Metered Dose Inhaler [Symbicort],SBDF,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
hta,,,,,,,,,,,
medicamentos homepaticos gastritis,2636732.0,methyl salicylate 0.02 MG/MG Topical Ointment,SCD,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
carbonato litio,1897.0,calcium carbonate,IN,A,,A12,,A12A,,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
fosfomicina,4550.0,fosfomycin,IN,J,,J01,,J01X,,J01XX,Other antibacterials
acetaminofen ma shioscina,1099282.0,Mielim Y Mas,BN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
symbicor,327148.0,Symbicort,BN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
timolol dorsolamina,10600.0,timolol,IN,C,,C07,,C07A,,C07AA,"Beta blocking agents, non-selective"
pastas planificar,1125471.0,zinc oxide 250 MG/ML Topical Cream,SCD,D,,D02,,D02A,,D02AB,Zinc products
calcio caltrate tiamina vitamina c,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
dienogest ao,22968.0,dienogest,IN,G,,G03,,G03D,,G03DB,Pregnadien derivatives
cetirizina ocadsional,20610.0,cetirizine,IN,R,,R06,,R06A,,R06AE,Piperazine derivatives
janubia mg,638596.0,Januvia,BN,A,,A10,,A10B,,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
omeorazol,7646.0,omeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
losartan tab dia,372651.0,losartan Oral Tablet,SCDF,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
acido acetilsalicilico mg c h via oral,1191.0,aspirin,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
esomeorazol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
insulina glargina u pm,274783.0,insulin glargine,IN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
tamoxifeno suspendido,10324.0,tamoxifen,IN,L,,L02,,L02B,,L02BA,Anti-estrogens
ilbersartan,83818.0,irbesartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
ferrokids,,,,,,,,,,,
