input_es,input_en,icd10pcs_code,icd10pcs_term
"ESFINTEROTOMIA, HEMORROIDECTOMIA","SPHINTEROTOMY, HEMORRHOIDECTOMY",,
RETIRO DE MAT EN TORAX,REMOVAL OF MAT IN THE THORAX,,
CIRUGIA ORTOPEDICA PIE IZQ,LEFT FOOT ORTHOPEDIC SURGERY,,
PROCEDIMIENTO DE LATARJET,LACARD PROCEDURE,G6021,Unlisted px small intestine
NEUROLISIS NERV MEDIANO ANTEBZO DER,MEDIAN NERV DER ANTEBZUM NEUROLYSIS,,
"HERNIORRAFIA UMBILICAL POR LAPAROSCOPIA, UMBILICAL.","UMBILICAL HERNIORRHAPHY BY LAPAROSCOPY, UMBILICAL.",,
HISTERECTOMIA DIAGNOSTICA VIA LAPAROSCOPICA,DIAGNOSTIC HYSTERECTOMY VIA LAPAROSCOPIC,,
EVDA Y COLONOSCOPIA TOTAL,EVDA AND TOTAL COLONOSCOPY,,
ESTENOSIS SUBGLOTICA - TRAQUEOSTOMIA - SE SOLICITA PRIORITARIO CAMBIO DE CANULA DE TRAQUEOSTOMIA Y EVALUAR VIA AEREA POR,SUBGLOTTIC STENOSIS - TRACHEOSTOMY - PRIORITY IS REQUESTED TO CHANGE THE TRACHEOSTOMY CANNULA AND EVALUATE AIRWAY BY,,
RECONSTRUCCION PUNTA DE DEDO MANO IZQUIERDA,LEFT HAND FINGER TIP RECONSTRUCTION,,
HISTERECTOMIA + CISTECTOMIA DE OVARIO IZQUIERDO LAPAROSCOPICA,LAPAROSCOPIC LEFT OVARIAN HYSTERECTOMY + CYSTECTOMY,,
PROTOCOLO CX BARIATRICA,CX BARIATRICS PROTOCOL,G9424,Site no lung or lung cx
REVISION DE ARTRODESIS CON PLACA Y ALOINJERTO.,REVISION OF ARTHRODESIS WITH PLATE AND ALLOGRAFT.,,
TENOSINVECTOMIA DE FLEXORES DEDO ANULAR MANO IZQ,TENOSINVECTOMY OF FLEXORS RING FINGER LEFT HAND,,
RECONSTRUCCION MAXILOFACIAL,MAXILLOFACIAL RECONSTRUCTION,L8048,Unspec maxillofacial prosth
RNM ABDOMEN BAJO ANESTESIA,ABDOMEN MRI UNDER ANESTHESIA,,
ABLACION DE TURMOR OSEO POR RADIOFRECUENCIA,BONE TURMOR ABLATION BY RADIOFREQUENCY,,
TURBINOPLASTI ADENOIDECTOMIA,TURBINOPLASTI ADENOIDECTOMY,,
"TURBINOPLSTIA, ADENOAMIGDALECTOMIA","TURBINOPLSTY, ADENOAMIGDALECTOMY",,
ESTAPEDECTOMIA EN EL OIDO DERECHO,STAPEDECTOMY IN THE RIGHT EAR,,
"HISTERECTOMIA AMPLIADA, SALPINGUECTOMIA BILATERAL","EXTENDED HYSTERECTOMY, BILATERAL SALPINGECTOMY",,
"HISTEROLINFADENECTOMIA, SALPINGOOFORECTOMIA BILATERAL, OMENTECTOMIA.","HISTEROLYMPHADENECTOMY, BILATERAL SALPINGOOPHORECTOMY, OMENTECTOMY.",,
BIOPSIA NODULO TIROIDEO,THYROID NODULE BIOPSY,G9552,Inc thyr node <1.0 in rpt
LIBERACION DE NERVIO MEDIANO A NIVEL DEL ANTEBRAZO PROXIMAL IZQUIERDO,MEDIAN NERVE RELEASE AT THE LEVEL OF THE LEFT PROXIMAL FOREARM,,
HEMITIROIDECTOMIA DERECHA + BIOPSIA POR CONGELACIÓN,RIGHT HEMITYROIDECTOMY + FREEZING BIOPSY,,
"MASTECTOMIA, VCIAMIENTO, COLGAJO","MASTECTOMY, VOIDING, FLAP",L8000,Mastectomy bra
ADENOAMIGDALECTOMIA + TURNBINOPLASTIA,ADENOAMIGDALECTOMY + TURNBINOPLASTY,,
BIOPSIA PERCUTANEA PULMON,PERCUTANEOUS LUNG BIOPSY,C7501,Perc bx breast lesions stero
LIBERACION ENDOSCOPIA DEL TUNEL CARPIANO MUÑECA IZQUIERDA.,ENDOSCOPY RELEASE OF THE CARPAL TUNNEL LEFT WRIST.,,
BIOSPIA DE LESION EN LENGUA,BIOSPY OF TONGUE LESION,,
"OSTEOSINTESIS DE ESCAFOIDES, REDUCCION ABIERTA.","SCAPHOID OSTEOSYNTHESIS, OPEN REDUCTION.",,
RESECCION Y BIOPSIA MAA PARAPADO SUPERIOR DERECHO,MAA RESECTION AND BIOPSY OF THE RIGHT UPPER LID,,
EECC- LASER PARA CATARATA,EECC- LASER FOR CATARACT,,
CX ARTICULAR COMPLEJA POR ARTROSCOPIA DER,COMPLEX JOINT CX BY DER ARTHROSCOPY,,
TENOSINOVECTOMIA EXTENSOR PULGAR MANO IZQUIERDA,TENOSINOVECTOMY THUMB EXTENDER LEFT HAND,,
"BURSECTOMIA, LIGAMENORRAFIA","BURSECTOMY, LIGAMENORRHAPHY",,
"ADENOAMIGDALECTOMIA, TURBINOPLASTIA, TIMPANOTOMIA","ADENOAMIGDALECTOMY, TURBINOPLASTY, TYMPANOTOMY",,
MAPEO AURICULILLA,HEADPHONE MAPPING,S8040,Topographic brain mapping
RESECCION DE EXOSTOSIS .,EXOSTOSIS RESECTION.,G9613,Doc post surg anatomy
ARTROSCOPIA CADERA IZQ,LEFT HIP ARTHRSCOPY,G8395,Lvef>=40% doc normal or mild
HISTERECTOMIA RADICAL LAPAROSCOPICA,LAPAROSCOPIC RADICAL HYSTERECTOMY,S2079,Lap esophagomyotomy
COLELAP Y HERNIORRAFIA UMBILICAL LAPAROSCOPICA,COLELAP AND LAPAROSCOPIC UMBILICAL HERNIORRHAPHY,,
DSCOMPRESION NERVIO CODO Y MANO.,ELBOW AND HAND NERVE DCOMPRESSION.,,
FBC Y LAVADO B/ALEVEOLAR,FBC AND B/ALEVEOLAR WASH,,
"LAVADO, DESBRIDAMIENTO Y COLGAJO EN MANO","WASHING, DEBRIDEMENT AND HAND FLAP",,
TENOTOMIA HOMBRO DERECHO,RIGHT SHOULDER TENOTOMY,C1605,"Pmkr, dual, leadless"
CX MOSH Y RECONSTRUCCION,CX MOSH AND RECONSTRUCTION,,
CIRUGÍA ARTROSCOPICA DE RODILLA DERECHA,ARTHROSCOPIC RIGHT KNEE SURGERY,,
GASTRECTOMIA TOAL POR LAPAROSCOPIA,TOTAL GASTRECTOMY BY LAPAROSCOPY,,
EXTRACCION EXTRACAPSULAR CRISTALINO AMBOS OJOS,EXTRACAPSULAR CRYSTAL EXTRACTION OF BOTH EYES,,
HERNIORRAFIA DERECHA,RIGHT HERNIORRHAPHY,C1605,"Pmkr, dual, leadless"
PUNCIÓN Y TOMA D EMNUESTRA DE LIQUIDO DE ARTICULACION DEL HOMBRO .,PUNCTURE AND TAKING SAMPLE OF SHOULDER JOINT FLUID.,,
CONTROL ENDOSCOPICO DE EPISTAXIS,ENDOSCOPIC CONTROL OF EPISTaxis,,
EXTRACCION EXTRACAPSULAR MAS LENTE INTRAOCULAR.,EXTRACAPSULAR EXTRACTION PLUS INTRAOCULAR LENS.,,
HISTEROSCOPIA BIOPSIA ENDOMETRIO,HYSTEROSCOPY ENDOMETRIAL BIOPSY,G9823,Endo smpl/hyst bx res doc
"INJERTO OSEO, CORTICOTOMIA, COLOCACION DE TUTOR EXTERNO","BONE GRAFT, CORTICOTOMY, PLACEMENT OF EXTERNAL GUARD",,
CORRECCIÓN HIPOSPADIA (2DO TIEMPO),HYPOSPADIA CORRECTION (2ND TIME),,
RESECCION DE OSTEOCONTROMAS FEMORALES DE MANERA BILATERAL,BILATERAL RESECTION OF FEMORAL OSTEOCONTROMAS,,
HERNIRRAFIA UMBILICAL COIN COLOCACION DE MALLA,UMBILICAL COIN HERNIRRHAPHY MESH PLACEMENT,,
RESECCION DE LESIONEN PARPADO DEREHCO,RIGHT EYELID LESION RESECTION,,
RESECCION LESION PREPARTORIDEA,PREPARTORIDAL LESION RESECTION,,
"SECUESTRECTOMIA COLGAJO, EXTRACCION MATERIAL DE OSTEOSINTESIS","FLAP SEQUESTRECTOMY, OSTEOSYNTHESIS MATERIAL EXTRACTION",,
LIBERACION DE BRIDAS POR LAPAROSCOPIA,FLANGE RELEASE BY LAPAROSCOPY,,
MOVILIZACION HOMBRO IZQUIERDO,LEFT SHOULDER MOBILIZATION,G8395,Lvef>=40% doc normal or mild
OSTEOSITESIS REPRACION MTRIZ UNGUEAL.,NAIL MTRIX OSTEOSYTHESIS.,G0127,Trim nail(s)
BIOPSIA EXCISIONAL,EXCISIONAL BIOPSY,G8876,Doc reas no min inv dx
"ESOFAGOGASTRODUODENOSCOPICA, COLONOSCOPIA","ESOPHAGOGASTRODUODENOSCOPIC, COLONOSCOPY",G6019,Colonoscopy lesion removal
REVISION LCA-EXTRACCION DE MAT EN TIBIA,ACL REVISION-MAT REMOVAL IN TIBIA,,
DESCOMPRESIÓN,DECOMPRESSION,S2325,Hip core decompression
VARICECTOMIA MAS ESCLEROTERAPIA MII,VARICECTOMY PLUS MII SCLEROTHERAPY,,
CIRUGIA ORTOPEDICA DE BAJA COMPLEJIDAD,LOW COMPLEXITY ORTHOPEDIC SURGERY,,
EXTRACCION CUERPO EXTRAÑO INTRACRANEAL POR CRANEOTOMIA,INTRACRANIAL FOREIGN BODY REMOVAL BY CRANIOTOMY,,
HEMITIROIDECTOMIA VS TIROIDECTOMIA TOTAL Y VACIAMIENTO CERNTRAL,HEMITYROIDECTOMY VS TOTAL THYROIDECTOMY AND CERNTRAL EMPTYING,,
COREOPLASTIA Y LISIS DE SINEQUIAS OJO DERECHO,CHOREOPLASTY AND LYSIS OF RIGHT EYE SYNECHIAE,,
ARTROSCOPIA MAS SUTURA VS. REMODELACIÓN MENISCAL,ARTHRSCOPY PLUS SUTURE VS. MENISCAL REMODELING,,
RESONANCIA DE MI,RESONANCE OF ME,C9762,Cardiac mri seg dys strain
2 CUADRANTECTOMIAS EN LA MAMA IZQUIERDA MAS COLGAJO GLANDULAR.,2 QUADRANTECTOMIES IN THE LEFT BREAST PLUS GLANDULAR FLAP.,,
RESECCION DE TUMOR DE OVARIO X LAPAROSCOPIA,OVARIAN TUMOR RESECTION X LAPAROSCOPY,,
TENOSINOVECTOMIA/RETIRO MATERIAL OTS,TENOSINOVECTOMY/OTS MATERIAL REMOVAL,,
FISTULOTOMIA +/- COLGAJO,FISTULOTOMY +/- FLAP,S2066,Breast gap flap reconst
RESECCION DE CICATRIZ HIPERTROFICA MAS COLGAJO,HYPERTROPHIC SCAR RESECTION PLUS FLAP,,
RNM DE MANO,HAND MRI,E2321,Hand interface joystick
"HISTEROSCOPIA, RESECCION POLIPO CUELLO DEL UTERO.","HYSTEROSCOPY, CERVICAL POLYP RESECTION.",,
"EXTRACCION DISPOSITIVO IMPLANTADO EN FALANGES, TENOSINOVECTOMIA EN DEDOS DE MANO","EXTRACTION OF DEVICE IMPLANTED IN PHALANGES, TENOSINOVECTOMY IN FINGERS",,
RESECCION LESION/ ENDOSCOPUIA Y COLONOSCOPIA,LESION RESECTION/ENDOSCOPY AND COLONOSCOPY,,
CONIZACION + DETECCION DE GANGLIO CENTINELA POR LAPAROSCOPIA,CONIZATION + DETECTION OF SENTINEL NODE BY LAPAROSCOPY,,
RESECCION MASA ESCAPULA DERECHA+COLGAJO,RIGHT SCAPULA MASS RESECTION+FLAP,,
RESECCION QUIRURGICA GANGLION,SURGICAL GANGLION RESECTION,G9613,Doc post surg anatomy
RESECCION DE POLIPO RECTAL,RECTAL POLYP RESECTION,A4337,Incontinent rectal insert
ARTROSCÓPICA PARA MANEJO DE BÍCEPS.,ARTHROSCOPIC FOR MANAGEMENT OF BICEPS.,,
RESECCION BIOPSIA DE LESION DE PENE,BIOPSY RESECTION OF PENIS INJURY,,
CIRCUNSICION.,CIRCUMSITION.,,
HISTERECOTMIA RADICAL + SALPINGOOFORECOTMIA,RADICAL HYSTERECOTMIA + SALPINGOOPHORECOTMIA,,
ADENOIDECTOMIA + AMIGDALECTOMIA + TURBINOPLASTIA,ADENOIDECTOMY + TONSILLECTOMY + TURBINOPLASTY,,
RESECCION LITICA DE PERONE IZQUIERDO MAS INJERTO DE HUESO,LITHIC RESECTION OF LEFT FIBUM PLUS BONE GRAFT,,
CISTOSCOPIA + RTU VESICAL,BLADDER CYSTOSCOPY + TUR,A4355,Bladder irrigation tubing
ARTROSCOPIA TOBILLO DRECHO,RIGHT ANKLE ARTHROSCOPY,C1605,"Pmkr, dual, leadless"
RMN DE HOMBRO Y MANO DERECHA,MRI OF THE SHOULDER AND RIGHT HAND,,
SALPINGECTOMIA BILATERAL+CISTECTOMIA OVARIO LAPAROSCOPICA,BILATERAL SALPINGECTOMY+LAPAROSCOPIC OVARIAN CYSTECTOMY,,
BIIOPSIA ADENOPATIA CERVICAL,CERVICAL DENOPATHY BIOPSY,C7503,Open exc cerv node(s) w/ id
RESECCION TUMOR MALIGNO CONJUNTIVA,CONJUNCTIVE MALIGNANT TUMORE RESECTION,,
RECANALIZACION TROMPAS UTERINAS LAPAROSCOPIA,UTERINE TUBAL RECANALIZATION LAPAROSCOPY,,
DERIVACION CISTO-SUBDURAL,CYSTO-SUBDURAL DERIVATION,C9761,"Cysto, litho, vacuum kidney"
"SUTURA TENDON BICIPITAL, ACROMIOPLASTIA HOMBRO DERECHO","BICIPITAL TENDON SUTURE, RIGHT SHOULDER ACROMIOPLASTY",,
RESECCIÓN DE PTERIGIO+PLASTIA OI,PTERYGIAL RESECTION + OI PLASTY,,
NEFRECTOMIA(DONANTE DE ORGANO),NEPHRECTOMY (ORGAN DONOR),S2152,Solid organ transpl pkg
"MAXILETMOIDECTOMIA IZQUIERDA, MAS RECONSTRUCCION CON","LEFT MAXILETMOIDECTOMY, PLUS RECONSTRUCTION WITH",,
"CESAREA, OCLUSION DE TROMPAS DE FALOPIO","CESAREA, OCCLUSION OF FALLOPIAN TUBES",,
HEMITIROIDECTOMIA IZQUIERDA + BIOPSIA POR CONGELACIÓN,LEFT HEMITYROIDECTOMY + FREEZING BIOPSY,,
RETIRO MATERIAL DE OSTEOSINTESIS CLAVICULA,CLAVICLE OSTEOSYNTHESIS MATERIAL REMOVAL,,
NEFRECTOMÍA IZQUIERDA POR RETROPERITONEOSCOPIA,LEFT NEPHRECTOMY BY RETROPERITONEOSCOPY,,
CX MHOS ALA NASAL,CX MHOS NASAL WING,,
CIRUGÍA DE LA MANO DE MYOR OMPLEJIDAD,HAND SURGERY OF MYOR OMPLEJITY,,
CX ORTOGNATICA BIMAXILAR,BIMAXILLARY ORTHOGNATIC CX,,
CAMBIO DE STENT BILIAR,BILIARY STENT EXCHANGE,C7560,Ercp remove forgn body&endo
RESECCION NODULO TIROIDEO,THYROID NODULE RESECTION,G9552,Inc thyr node <1.0 in rpt
LIBERACION TUNEL CARPIANO Y,CARPAL TUNNEL RELEASE AND,,
"PACIENTE REQUIERE CONDROPLASTIA, REMODELACION MENISCAL, APLICACION DE MALLA DE ACIDO HIALURONICO Y OSTEOTOMIA FEMORAL VA","PATIENT REQUIRES CHONDROPLASTY, MENISCAL REMODELING, APPLICATION OF HYALURONIC ACID MESH AND VA FEMORAL OSTEOTOMY",,
"PROSTATECTOMIA RADICAL POR LAPAROSCOPIA, LINFADENECTOMIA PELVICA","RADICAL PROSTATECTOMY BY LAPAROSCOPY, PELVIC LYMPHADENECTOMY",,
CIRUGIA DE PLEXO BRAQUIAL,BRACHIAL PLEXUS SURGERY,,
ENDOCOPIA VIAS DIGESTIVAS ALTAS,UPPER DIGESTIVE TRACT ENDOCOPY,,
TURNBINOPLASTIA- TBOS VENTILACION,TURNBINOPLASTY- VENTILATION TUBES,,
CORRECCION/CIERRE CIA,CIA CORRECTION/CLOSURE,,
"HISTERECTOMIA, SALPINGUECTOMIA BILATERAL","HYSTERECTOMY, BILATERAL SALPINGECTOMY",G9774,Pt had hyst
ADENOIDECTOMIA MAS TIMPANOSTOMIA CON TUBOS VENTILATORIOS,ADENOIDECTOMY PLUS TYPANOSTOMY WITH VENTILATORY TUBES,,
"IQ: CONDROPLASTIA DE RODILLA CON INJERTO AUTOLOGO O ALOINJERTO POR ARTROSCOPIA, SUTURA DE MENISCO MEDIAL O LATERAL POR A","IQ: KNEE CHONDROPLASTY WITH AUTOLOGOUS GRAFT OR ALLOGRAFT BY ARTHROSCOPY, MEDIAL OR LATERAL MENISCUS SUTURE BY A",,
AMIGDALECTOMIA  MAS  COLGAJO  FARINGEO,TONSILLECTOMY PLUS PHARYNGAL FLAP,,
REPARO MANGUITOS ROTS,REPAIR BROKEN HOSE,L8049,Repair maxillofacial prosth
GASTRECTOMIA TOTAL LAPAROSCOPICA,TOTAL LAPAROSCOPIC GASTRECTOMY,C7565,Rpr aa hrn < 3 rdc w/ rmvl
ENDOSCOPID DIG ALTA,HIGH DIG ENDOSCOPID,K0004,High strength ltwt whlchr
"EXTRACCION MATERIAL DE OSTEOSINTESIS,SINOVECTOMIA","OSTEOSYNTHESIS MATERIAL EXTRACTION, SYNOVECTOMY",,
RMN CERECBRAL,BRAIN MRI,G9538,Adv brain image ordered
LAPAROSCOPIA Y RESECCION,LAPAROSCOPY AND RESECTION,G0342,Laparoscopy islet cell trans
"IQ: SUTURA DEL TENDON [TENODESIS] BICIPITAL POR ENDOSCOPIA, SINOVECTOMIA DE HOMBRO PARCIAL POR ARTROSCOPIA","IQ: BICIPITAL TENDON [TENODESIS] SUTURE BY ENDOSCOPY, PARTIAL SHOULDER SYNOVECTOMY BY ARTHRSCOPY",,
TIRODIECTOMIA PARCIAL IZQUIERDA,LEFT PARTIAL THYRODIECTOMY,G8395,Lvef>=40% doc normal or mild
"RSECCION DE LESION CARA, RECONSTRUCCCION MAS COLGAJO.","FACE INJURY RECTION, RECONSTRUCTION PLUS FLAP.",,
OSTEOTOMIA DE ROTULA DER/RETIRO DE MATERIAL DE OTS RODILLA IZDA,RIGHT PATELLA OSTEOTOMY/LEFT KNEE OTS MATERIAL REMOVAL,,
"RESECCION DE TUMOR DE MANO DERECHA, NEUROLISIS EN NERVIO MANO DERECHA VIA ABIERTA","RIGHT HAND TUMOR RESECTION, NEUROLYSIS IN THE RIGHT HAND NERVE OPEN APPROACH",,
POEMROY POR LAPAROSCOPIA,POEMROY BY LAPAROSCOPY,,
"TURBINOPLASTIA , AMIGDALECTOMIA , FARINGOPLASTIA","TURBINOPLASTY, TONSILLECTOMY, PHARYNGOPLASTY",,
URETERORENOSCOPIA FLEXIBLE CON LITOFRAGMENTACION,FLEXIBLE URETERORENOSCOPY WITH LITHOFRAGMENTATION,,
CICATRIZ MEDIANTE Z PLASTIA Y/O COLGAJO PEDICULADO  MICROVASCULAR Y A DISTANCIA CON INJERTO DE ESPESOR DE PIEL EN TERCI,SCAR THROUGH Z PLASTY AND/OR MICROVASCULAR AND REMOTE PEDICULATED FLAP WITH SKIN THICKNESS GRAFT IN TERCI,,
BIOPSIA DE MEDULA OSEA + BIOPSIA DE HUESO,BONE MARROW BIOPSY + BONE BIOPSY,G0364,Bone marrow aspirate &biopsy
PROSTATECTOMÍA RADICAL POR LAPAROSCOPIA,RADICAL PROSTATECTOMY BY LAPAROSCOPY,,
ARTROSCOPIA RODILLA Y RECONSTRUCCION,KNEE ARTHRSCOPY AND RECONSTRUCTION,,
CUADRANTECTOMIA + BIOPSIA MAMA DERECHA,QUADRANTECTOMY + RIGHT BREAST BIOPSY,,
RESECCION DE PÓLIPO ENDOMETRIAL,ENDOMETRIAL POLYP RESECTION,G9823,Endo smpl/hyst bx res doc
RESECCION PTERIGIO MAS PLASTIA OJO DERECHO,PTERYGIUM RESECTION PLUS RIGHT EYE PLASTY,,
RESECCION LOCAL AMPLIA DE TUMOR,WIDE LOCAL TUMOR RESECTION,,
EXTRACCION DE LA BARRA DE NUSS,REMOVAL OF THE NUSS ROD,,
PROSTATECTOMÍA ABIERTA,OPEN PROSTATECTOMY,L5321,Ak open end sach
EXTRACCION EXTRACAPSULAR DE CRISTALINO MAS LIO OJO IZQUIERDO,EXTRACAPSULAR EXTRACTION OF CRYSTAL PLUS LEFT EYE IOL,,
"EXTRACCION EXTRACAPSULAR DE CATARATA, VITRECTOMIA, INSERCION DE LENTE","EXTRACAPSULAR CATARACT EXTRACTION, VITRECTOMY, LENS INSERTION",,
COLOCACION CATETER IMPLTANTABLE,IMPLANTABLE CATHETER PLACEMENT,E0786,Implantable pump replacement
CISTECTOMIA DE OVARIO POR LAPAROSCOPIA IZQUIERDA,OVARIAN CYSTECTOMY BY LEFT LAPAROSCOPY,,
"FARINGOPLSTIA, ADENOAMIGDALECTOMIA","PHARYNGOPLSTIA, ADENOAMYGDALECTOMY",,
STENT CAROTIDEO,CAROTID STENT,G9689,Inpt elect carotid intervent
"MASTECTOMIA, VACIAMIENTO, COLGAJO.","MASTECTOMY, EMPTYING, FLAP.",L8000,Mastectomy bra
RECONSTRUCCION DE PARPADO SUPERIOR OJO IZQUIERDO,RECONSTRUCTION OF UPPER EYELID LEFT EYE,,
RESONANCIA MUSCULOESQUELETICA,MUSCULOSKELETAL RESONANCE,M1370,Rehab support msk care mvp
CX ESTRABISMO AMBOS OJOS,CX STRABISMUS BOTH EYES,,
ARTROSOCOPIA DE HOMBRO,SHOULDER ARTHROSOCOPY,L5699,Shoulder harness
RESECCION +CIERRE COLGAJO,RESECTION +FLAP CLOSURE,S2066,Breast gap flap reconst
HISTEROSCOPIA + BX,HYSTEROSCOPY + BX,G9823,Endo smpl/hyst bx res doc
"SALPINGUECTOMIA BILATERAL, EXTRACION DISPOSITIVO POR HISTEROSCOPIA","BILATERAL SALPINGECTOMY, DEVICE REMOVAL BY HYSTEROSCOPY",,
RSECCION TUMOR URETERAL O PELVICO CON URETRORENOSCOPIO FLEXIBEL LASER,URETERAL OR PELVIC TUMORSECTION WITH FLEXIBEL LASER URETHRORENOSCOPE,,
NEUROLISIS NERV MEDIANO/TENOSISIS/TENORRAFIA FLEXOR INDICE MANO IZDA,MEDIAN NERV NEUROLYSIS/TENOSISIS/TENORRHAPHY FLEXOR INDEX LEFT HAND,,
CONIZACION DE CUELO UTERINO,CERVICAL CONIZATION,A4261,Cervical cap contraceptive
ADENOIDECTOMIA  TURBINOPLASTIA ENDOSCOPICA MAS TUBOS VENTILATORIOS.,ADENOIDECTOMY ENDOSCOPIC TURBINOPLASTY PLUS VENTILATORY TUBES.,,
RMN MAMARIA,BREAST MRI,C8937,Cad breast mri
ENDOSCOPIA VIAS DIGESTIVAS,DIGESTIVE TRACT ENDOSCOPY,C9901,Endo defect closure gi tract
RETIRO TORNILLOS TRANSINDESMALES.,REMOVAL OF TRANSINDESMAL SCREWS.,,
RETIRAR EL MATERIAL DE OSTEOSINTESIS,REMOVE THE OSTEOSYNTHESIS MATERIAL,,
RETIRO MATERIAL OTS BRAOZ IZQUIERDO,OTS MATERIAL REMOVAL LEFT ARM,,
"CESAREA, ABLACION U OCLUSION TROMPAS DE FALOPIO","CESAREA, ABLATION OR OCCLUSION OF THE FALLOPIAN TUBES",,
COLECISTECTOMIA POR LAPAROSCOPICA Y HERNIORRAFIA UMBILICAL,LAPAROSCOPIC CHOLECYSTECTOMY AND UMBILICAL HERNIORRHAPHY,,
"ESCISION DE DISCO INTERVERTEBRAL, DESCOMPRESION","INTERVERTEBRAL DISC EXCISION, DECOMPRESSION",C9757,Spine device implant surgery
RESECCION LOCAL AMPLIADA DE LA VULVA,EXTENDED LOCAL RESECTION OF THE VULVA,,
TURBINOPLASTIA  ENDOSCOPICA   MAS  AMIGDALECTOMIA,ENDOSCOPIC TURBINOPLASTY PLUS TONSILLECTOMY,,
BIOPSIA POR TORACOSCOPIA,THORACOSCOPY BIOPSY,G0364,Bone marrow aspirate &biopsy
POSIBLE DONANTE DE HÍGADO  PARA SU HIJA .,POSSIBLE LIVER DONOR FOR YOUR DAUGHTER.,,
"CISTOURETROPEXIA, COLPORRAFIA ANTERIOR Y POSTERIOR","CYSTOURETHROPEXY, ANTERIOR AND POSTERIOR COLPORRHAPHY",,
EVDA CON TOMA DE BIOPSIAS.,EVDA WITH BIOPSY TAKING.,,
"RESONANCIA MAGNEITCA DE CUELLO, CARA Y CABEZA","MAGNEITCA RESONANCE OF THE NECK, FACE AND HEAD",,
POMEROY LAPROSCOPIA,POMEROY LAPROSCOPY,,
TENDOSINOVECOTMIA FLEXORES 4 Y 5 MANO DERECHA,TENDOSINOVECOTMIA FLEXORS 4 AND 5 RIGHT HAND,,
DESCOMPRESION T CARPO ENDOSCOPICA DER,RIGHT ENDOSCOPIC T CARPO DECOMPRESSION,,
RETIRO DOBLE J,DOUBLE J RETREAT,K0902,Ko double upright pre ots
DECOMPRESION TUNEL DEL CARPO ENDOSCOPICA,ENDOSCOPIC CARPAL TUNNEL DECOMPRESSION,,
"CISTOSCOPIA, RESECCION LESION VEJIGA, BIOPSIAS DE VEJIGA.","CYSTOSCOPY, BLADDER LESION RESECTION, BLADDER BIOPSIES.",,
ABDOMINOPASTIA + MASTOPEXIA CON IMPLANTES,ABDOMINOPASTY + MASTOPEXY WITH IMPLANTS,,
MASTOIDECOTMIA TIMPANOPLASTIA,MASTOIDECOTMIA TYMPANOPLASTY,,
RESECCION LESIONES PARPADO INF IZQUIERDO,RESECTION OF LEFT LOWER EYELID LESIONS,,
TENOSINOVECTOMÍA - VASECTOMÍA - HERNIORRAFIAS MÚLTIPLES,TENOSINOVECTOMY - VASECTOMY - MULTIPLE HERNIORRHAPHIES,,
ENDO COLONOCOPIA,ENDO COLONOCOPY,C1601,"Endo, single, pulmonary"
ARTROSCÓPICA DEHOMBRO DERECHO.,RIGHT SHOULDER ARTHROSCOPIC.,C1605,"Pmkr, dual, leadless"
"CONDROPLASTIA, SUTURA DE MENISCO RODILLA IZQUIERDA.","CHONDROPLASTY, LEFT KNEE MENISCUS SUTURE.",,
"RESECCION MASA EN MANO DERECHA, TENOLISIS, NEUROLISIS MANO DERECHA","MASS RESECTION IN THE RIGHT HAND, TENOLYSIS, NEUROLYSIS OF THE RIGHT HAND",,
ESTAPEDEDOTOMIA,STAPEDEDOTOMY,,
AMIGDALECTOMIA PARCIAL - ADENOIDECTOMIA,PARTIAL TONSILLECTOMY - ADENOIDECTOMY,L8046,Partial facial prosthesis
"ARTROSCOPIA DE RODILLA DERECHA,","ARTHRSCOPY OF THE RIGHT KNEE,",,
"MASTOIDECTOMIA,TIMPANOPLASTIA,REVISION","MASTOIDECTOMY, TYMPANOPLASTY, REVISION",,
PROSTATAECTOMIA RADICAL,RADICAL PROSTATAECTOMY,,
RECONSTRUCCION PARED ABDOMINAL.,ABDOMINAL WALL RECONSTRUCTION.,L1270,Abdominal pad
EVDA + BIOPSIA Y COLONOSCOPIA,EVDA + BIOPSY AND COLONOSCOPY,,
RESECCION LESION PARPADO INFERIOR IZQUIERDO,LEFT LOWER EYELID LESION RESECTION,,
RESECCION GANGION DORSAL DE MUÑECA DERECHA,DORSAL GANGION RESECTION OF THE RIGHT WRIST,,
CORRECCION QUIRUGICA IUE MAS  ESFINTEROPLASTIA,SURGICAL CORRECTION IUE PLUS SPHINTEROPLASTY,,
RESECCION SUBMUCOSA DE POLIPO ENDOSCOPICA,ENDOSCOPIC SUBMUCOUS POLYP RESECTION,,
RESECCION MASA GLUTEO IZQUIERDO,LEFT GUTEOUS MASS RESECTION,,
HIDROCELECTOMIA IZQ,LEFT HYDROCELECTOMY,G8395,Lvef>=40% doc normal or mild
COLONOSOPIA,COLONOSOPY,,
EMBOLIZACION DE VARICES PELVICAS,EMBOLIZATION OF PELVIC VARICES,,
TENOSINOVECTOMIA DE FLEXORES DE 3R DEDO DE MANO DERECHA,TENOSINOVECTOMY OF FLEXORS OF THE 3RD FINGER OF THE RIGHT HAND,,
PLSTIA FRENILL LINGUAL,LINGUAL FRENILL PLASTIA,,
"LAVADO Y DESBRIDAMIENTO, COLGAJO","WASHING AND DEBRIDEMENT, FLAP",,
