input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
"FIMOSIS, HERNIA UMBILICAL","PHIMOSIS, UMBILICAL HERNIA",,,,K42.1,Umbilical hernia with gangrene
SX DE EAGLE,EAGLE SX,,,,,
TRAUMATISMO DE TENDONES Y MUSCULOS FLEXORES MANO,INJURY OF TENDONS AND HAND FLEXOR MUSCLES,,,,S66.801S,"Unspecified injury of other specified muscles, fascia and tendons at wrist and hand level, right hand, sequela"
CONDROPATIA PATELOFEMORAL DER,RIGHT PATELOFEMORAL CHONDROPATHY,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
OTISIS MEDIA IZQUIERDA,MIDDLE LEFT OTISIS,,,,S62.623S,"Displaced fracture of middle phalanx of left middle finger, sequela"
ESCOLIOSIS IDIOPÁTICA,IDIOPATHIC SCOLIOSIS,,,,M41.00,"Infantile idiopathic scoliosis, site unspecified"
LUXACION ROTULA IZQUIERDA,LEFT PATELLA LUXATION,,,,M22.02,"Recurrent dislocation of patella, left knee"
HDA PAF MUSLO,HDA PAF THIGH,,,,,
LESIONES VERRUCOSAS EN AREA GENITAL,VERRUCOUS LESIONS IN THE GENITAL AREA,,,,,
DOLOR DE RODILLAS,KNEE PAIN,,,,M25.561,Pain in right knee
"TUMOR DE CELULAS GIGANTES VS. QUISTE SINOVIAL,","GIANT CELL TUMOR VS. SYNOVIAL CYST,",,,,,
ADENOMA EL GLANDULA SALIVAL,SALIVAL GLAND ADENOMA,,,,,
"ESTENOSIS AORTICA Y ENFERMEDAD CORONARIA MULTIVASO,","AORTIC STENOSIS AND MULTIVAVE CORONARY HEART DISEASE,",,,,,
PARIEDAD SATISFECHA,SATISFIED PARENTHOOD,,,,,
ESTENOSIS DEL CANAL MEDULAR,MEDULARY CANAL STENOSIS,,,,H95.811,Postprocedural stenosis of right external ear canal
ULCERA Y OSTEOMIELLITIS PIERNA IZQUIERDA,ULCERA AND OSTEOMYELLITIS LEFT LEG,,,,,
"G1 GEMELAR, EG 36 SEM","G1 TWIN, EG 36 SEM",,,,,
LESION EN TIBIA,,,,,,
LESION TENDON PULGAR,,,,,,
CANAL CERVICAL MEDULAR ESTRECHO,Narrow CERVICAL MEDULAR CANAL,,,,,
LESION  NERVIO PIE IZQ,LEFT FOOT NERVE INJURY,,,,S94.92XS,"Injury of unspecified nerve at ankle and foot level, left leg, sequela"
LESION MAMA IZQUIERDA,LEFT BREAST INJURY,,,,S20.112S,"Abrasion of breast, left breast, sequela"
TUMOR ORBITARIO,ORBITARY TUMOR,,,,D48.112,"Desmoid tumor, intrathoracic"
CA NODULAR DORSO NASAL,NASAL DORSO NODULAR CA,,,,,
ESCOIOSIS,SCOIOSIS,,,,,
CONTROL TUMOR CEREBRAL.,BRAIN TUMOR CONTROL.,,,,G93.82,Brain death
HERIDA POR ARMADE FUEGO,INJURY BY FIREARMA,,,,P00.5,Newborn affected by maternal injury
"G2P1, EG 38 SEM","G2P1, EG 38 SEM",,,,,
LIPOIMAS EN CUELLO Y ESPALDA,LIPOIMAS ON NECK AND BACK,,,,,
EMBARAZO PODALICO,PODALIC PREGNANCY,,,,O00.00,Abdominal pregnancy without intrauterine pregnancy
MASA SUBMANDIBULAR,SUBMANDIBULAR MASS,,,,C08.0,Malignant neoplasm of submandibular gland
DESVIACION DE TABIQUE NASAL/RINITIS,NASAL SEPTUM DEVIATION/RHINITIS,,,,,
SINOVITIS DE TOBILLO DERECHO,RIGHT ANKLE SYNOVITIS,,,,M67.371,"Transient synovitis, right ankle and foot"
TX DE HOMBRO DEREHCO,RIGHT SHOULDER TX,,,,M75.81,"Other shoulder lesions, right shoulder"
CONGESTION NASAL Y RINORREA,NASAL CONGESTION AND RHINORRHEA,,,,,
TUMOR ULCRADO RECTAL,RECTAL ULCRATED TUMOR,,,,K61.1,Rectal abscess
TUMOR DE TEJIDOS BLANDOS,SOFT TISSUE TUMOR,,,,M26.81,Anterior soft tissue impingement
GANGLION PALMAR,PALMAR GANGLION,,,,M72.0,Palmar fascial fibromatosis [Dupuytren]
FÍSTULA PERIANAL,PERIANAL FISTULA,,,,K64.5,Perianal venous thrombosis
TUMOR BENIGNO EN TARSIANO,BENIGN TUMOR IN TARSAL,,,,,
SINUSITIS ESFENOIDAL,SPHENOIDAL SINUSITIS,,,,J32.3,Chronic sphenoidal sinusitis
CUERPO EXTRAÑO EN OIDO DERECHO,FOREIGN BODY IN RIGHT EAR,,,,T16.1XXS,"Foreign body in right ear, sequela"
PSEUDOCOXALGIA,PSEUDOCOXALGIA,,,,M91.30,"Pseudocoxalgia, unspecified hip"
TUMOR DE FRANZ,FRANZ TUMOR,,,,D48.112,"Desmoid tumor, intrathoracic"
TUMOR EN DORSO DE MANO IZUIQERDA,TUMOR ON BACK OF LEFT HAND,,,,,
INCONTNENCIA URINARIA,URINARY INCONTINENCE,,,,N39.492,Postural (urinary) incontinence
CARCINOMA DE PIEL-,SKIN CARCINOMA-,,,,C4A.51,Merkel cell carcinoma of anal skin
LESION TUMORAL OSEA EN REGION TEMPORAL IZQUIERDA QUE COMPROMETE TABLA INTERNA Y EXTERNA,BONE TUMORAL LESION IN THE LEFT TEMPORAL REGION THAT COMPROMISES THE INTERNAL AND EXTERNAL TABLE,,,,,
VARICOCELE PELVICO,PELVIC VARICOCELE,,,,I86.2,Pelvic varices
DISPLASIA FIBROSDA POLIOSTOTICA,POLYOSTOTIC FIBROSDA DYSPLASIA,,,,Q78.1,Polyostotic fibrous dysplasia
NÓDULO EN PULMON,NODULE IN LUNG,,,,Q33.5,Ectopic tissue in lung
ARTORFIBORISS SEC A INFECCION PERIPROTESICA,ARTORFIBORISS SEC TO PERIPROSTHETIC INFECTION,,,,,
CA CONNJUNTIVA Y CORNEA IZUQIERDO,CA CONNJUNCTIVA AND LEFT CORNEA,,,,,
MASA A NIVEL DE COLA DE PAROTIDA,MASS AT PAROTID TAIL LEVEL,,,,,
GANGLION DORSAL DE MUÑECA IZUQIERDA,DORSAL GANGLION OF LEFT WRIST,,,,,
CUERPO EXTRAÑO EN NARIZ,FOREIGN BODY IN NOSE,,,,T17.1XXS,"Foreign body in nostril, sequela"
HERNIA DISCAL L5-,DISC HERNIATION L5-,,,,H47.313,"Coloboma of optic disc, bilateral"
HALLUX VALGO,HALLUX VALGO,,,,M20.20,"Hallux rigidus, unspecified foot"
TRAUMA DE COXIS,COCXY TRAUMA,,,,K08.81,Primary occlusal trauma
DOLOR HEMIFACIAL DER,RIGHT HEMIFACIAL PAIN,,,,G51.31,"Clonic hemifacial spasm, right"
MIOPIA BILATERAL,BILATERAL MYOPIA,,,,H52.13,"Myopia, bilateral"
DOLOR ABDOMINAL CRONICO Y PERSISTENTE,CHRONIC AND PERSISTENT ABDOMINAL PAIN,,,,,
COARTACION DE LA AORTA,COARTCATION OF THE AORTA,,,,I71.11,"Aneurysm of the ascending aorta, ruptured"
DESCARTAR HEC,DISCARD HEC,,,,T71.231A,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, initial encounter"
TX IDENTIDAD DE GENERO,TX GENDER IDENTITY,,,,F64.8,Other gender identity disorders
COLELITIASIS + LESION BENINGNA CUDRANTE VI HEPATICO,CHOLELITHIASIS + BENINGNA CUDRANT VI LIVER LESION,,,,,
GANLGION MUÑECA IZQUIERDA,LEFT WRIST GANLGION,,,,M21.332,"Wrist drop, left wrist"
DESMAYOS A ESTUDIO,FAINTING TO STUDY,,,,,
CRISIS FEBRIL RECURRENTE,RECURRENT FEBRILE CRISIS,,,,G47.13,Recurrent hypersomnia
INTOLERANCIA ALIMENTARIA,FOOD INTOLERANCE,,,,Z59.41,Food insecurity
HERNIA INGUINA,INGUINE HERNIA,,,,Q40.1,Congenital hiatus hernia
TUMOR MALIGNO DE FOSA NASAL,Malignant tumor of the nasal fossa,,,,,
SINDROME DE TUNEL DEL CARPO MANO IZQUIERDA,LEFT HAND CARPAL TUNNEL SYNDROME,,,,G56.02,"Carpal tunnel syndrome, left upper limb"
CORIORETINOMA OJO DERECHO,CHORIORETINOMA RIGHT EYE,,,,H44.321,"Siderosis of eye, right eye"
CONTROL EJECUTIVO,EXECUTIVE CONTROL,,,,R41.844,Frontal lobe and executive function deficit
QIUSTE OVAROI DERECHO,QIUSTE OVAROI RIGHT,,,,,
VIOLENCIA SEXUAL.,SEXUAL VIOLENCE.,,,,F65.51,Sexual masochism
CARTILAGO TIROIDEO PROMINENTE,PROMINENT THYROID CARTILAGE,,,,Q17.5,Prominent ear
LESION CONDRAL RODILLA IZQ,LEFT KNEE CHONDRAL INJURY,,,,S87.02XS,"Crushing injury of left knee, sequela"
TRAUMA PIERNA DER,RIGHT LEG TRAUMA,,,,M76.61,"Achilles tendinitis, right leg"
TUMOR O MASA DE PARPADO SUPERIOR OJO IZQUIERDO,TUMOR OR MASS OF UPPER EYELID LEFT EYE,,,,,
ANTECEDENTE DE CA DE MAMA,HISTORY OF BREAST CA,,,,Z98.86,Personal history of breast implant removal
SD SJOGREN,SD SJOGREN,,,,M35.00,"Sjogren syndrome, unspecified"
TUNEL CARPIANO MAS DEDO EN GATILLO,CARPAL TUNNEL MORE TRIGGER FINGER,,,,,
LUXACION CRONICA HOMBRO DERECHO,CHRONIC RIGHT SHOULDER DISLOCATION,,,,M86.311,"Chronic multifocal osteomyelitis, right shoulder"
DESINSERCION TENDONES FLEXORES CODO DER,DISINSERTION OF RIGHT ELBOW FLEXOR TENDONS,,,,,
"CARCINOMA BASOCELULAR, TIPO INFILTRATIVO","BASEL CELL CARCINOMA, INFILTRATIVE TYPE",,,,,
MASA PELVICA ANEXIAL,ANNEXAL PELVIC MASS,,,,R19.07,"Generalized intra-abdominal and pelvic swelling, mass and lump"
SD TUNEL CARPO IZQUIERDPO,SD LEFT CARPO TUNNEL,,,,,
NEUMOTORAX EXPONTANEO,EXPONTANEOUS PNEUMOTHORAX,,,,J93.81,Chronic pneumothorax
HERNIA INGUINAL DERECHO MAS UMBILICAL,RIGHT INGUINAL PLUS UMBILICAL HERNIA,,,,,
ESCOLIOSSI TORACOLUMBAR,THORACOLUMBAR SCOLIOSSI,,,,M43.05,"Spondylolysis, thoracolumbar region"
LESION QUISTICA EN BAZO.,CYSTIC LESION IN THE SPLEEN.,,,,,
HERNIA INGUINAL BILAT,BILAT INGUINAL HERNIA,,,,K40.11,"Bilateral inguinal hernia, with gangrene, recurrent"
COMNDILOMATOSIS,COMNDYLOMATOSIS,,,,,
DACRIOESTENOSIS,DACRYOSTENOSIS,,,,,
TUMOR CEREBELOSO,CEREBELLAR TUMOR,,,,G46.4,Cerebellar stroke syndrome
H EPIGASTRICA -DIASTASIS RECTOAS ABD,EPIGASTRIC H - DIASTASIS RECTAS ABD,,,,,
ARTROSIS ACROMIOCLAVICULAR,ACROMIOCLAVICULAR ARTHROSIS,,,,S43.111S,"Subluxation of right acromioclavicular joint, sequela"
CONTRACTURA MAMA IZQUIERDA DOLOR PROTESICO,LEFT BREAST CONTRACTURE PROSTHETIC PAIN,,,,,
FRACTURA DE TIBI Y PERONE DERECHO,FRACTURE OF RIGHT TIBI AND PERONE,,,,,
TENOSINOVITIS DE  EXTENORE S DE PULGAR DE MANO IZUIQERDA,TENOSYNOVITIS OF EXTENORE S OF THUMB OF LEFT HAND,,,,,
MALA HIGIENE ORAL,POOR ORAL HYGIENE,,,,R39.12,Poor urinary stream
POP CIRUGIA RECONSTRUCTIVA MI BILATERAL,POP RECONSTRUCTIVE SURGERY MY BILATERAL,,,,,
GLAUCOMA FAMILAIR .,FAMILY GLAUCOMA.,,,,Z83.511,Family history of glaucoma
COLESTASIS VESICULAR-HERNIA UMBILICAL,VESICULAR CHOLESTASIS-UMBILICAL HERNIA,,,,,
VERRUGAS LABIOS MENORES,LIPS MINOR WARTS,,,,K13.0,Diseases of lips
POP AMPUTACION DE DEDO MANO,POP HAND FINGER AMPUTATION,,,,,
POP OTS PATELA RODILLA IZQUIERDA,POP OTS PATELA LEFT KNEE,,,,,
LESION  PARPADOS CANTO INTERNO OJO DERECHO,EYELID INJURY INTERNAL CANTH OF RIGHT EYE,,,,,
FISTULA PERIANLA .,PERIANL FISTULA.,,,,N32.1,Vesicointestinal fistula
INSUFICIENCIA VENOSA GRADO V,GRADE V VENOUS INSUFFICIENCY,,,,,
PARAFIMOSIS,PARAPHIMOSIS,,,,N47.2,Paraphimosis
"G2C1, EG 38 SEM","G2C1, EG 38 SEM",,,,,
"CATARATA SENIL , ANGULOS ESTRECHOS","SENIL CATARACT, NARROW ANGLES",,,,,
PROCTITIS,PROCTITIS,,,,K62.7,Radiation proctitis
HEMORROIDES EXTERNAS,EXTERNAL HEMORRHOIDS,,,,B88.3,External hirudiniasis
FISURA ANAL Y PAPILA ANAL HIPERTROFICA,ANAL FISSURE AND HYPERTROPHIC ANAL PAPILLA,,,,,
NODUO TIROIDEO,THYROID NODUUS,,,,A18.81,Tuberculosis of thyroid gland
HIPERTROFIA DE ADENOIDES Y CORNETES INFERIORES .,HYPERTROPHY OF ADENOIDS AND LOWER CORNETS.,,,,,
TUMOR MSENQUIMAL,MSENCHYMAL TUMOR,,,,D48.112,"Desmoid tumor, intrathoracic"
OSTEOCONDROSIS Y VALGO RODILLA DERECHA,OSTEOCHONDROSIS AND VALGUUS RIGHT KNEE,,,,,
INS VENOSA GRADO II,GRADE II VENOUS INS,,,,,
ENFERMEDAD DE ALZHEIMER A ESTUDIO,ALZHEIMER'S DISEASE A STUDY,,,,,
LESION EN COLUMNA LUMNBAR EN ESTUDIO .,LUMNBAR SPINE INJURY IN STUDY.,,,,,
CRECIMEINTO MAXILAR,MAXILLARY GROWTH,,,,M26.01,Maxillary hyperplasia
MASA CODO IZQ,LEFT ELBOW MASS,,,,S53.032S,"Nursemaid's elbow, left elbow, sequela"
BOCIO NO TOXICO,NON-TOXIC GOITRE,,,,I5A,Non-ischemic myocardial injury (non-traumatic)
OBSTRUCCION DE CONSUCTO LACRIMAL,LACRIMAL CONDUCT OBSTRUCTION,,,,H04.131,"Lacrimal cyst, right lacrimal gland"
RESISTENCIA PERIFERICA A LOS ANDROGENOS,PERIPHERAL RESISTANCE TO ANDROGENS,,,,,
ENFERMEDAD RENAL,KIDNEY DISEASE,,,,I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
FISTULA PREAURICULAR,PREAURICULAR FISTULA,,,,Q18.1,Preauricular sinus and cyst
ANTECEDENTES FAMILIARES,FAMILY HISTORY,,,,Z80.6,Family history of leukemia
HIPERTROFIA   SEVERA  DE  CORNETES,SEVERE CORNETAL HYPERTROPHY,,,,F50.23,"Bulimia nervosa, severe"
LSION COMPLETA DE LIGAMENTO CRUZADO ANTERIOR RODILLA IZQUIERDA,COMPLETE INJURY OF ANTERIOR CRUCIATED LIGAMENT LEFT KNEE,,,,,
ROTURA COMPLETA (GRADO 3) DEL LIGAMENTO,COMPLETE RUPTURE (GRADE 3) OF THE LIGAMENT,,,,,
PROTOCOLO DE TRASPLANTE,TRANSPLANT PROTOCOL,,,,T86.11,Kidney transplant rejection
COLESTEATOMA RESIDUAL,RESIDUAL CHOLESTHEATOMA,,,,F20.5,Residual schizophrenia
PÓLIPOS GRANDES Y OBSTRUCTIVOS DE CUELLO VESICAL.,LARGE AND OBSTRUCTIVE BLADDER NECK POLYPS.,,,,,
RUPTURA DE LIGAMENTO COLATERAL MEDIAL DE CODO IZQUIERDO,RUPTURE OF MEDIAL COLLATERAL LIGAMENT OF LEFT ELBOW,,,,,
SINDROME DE TUNEL CUBITAL,CUBITAL TUNNEL SYNDROME,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
SD EAGLE BILATERAL,SD EAGLE BILATERAL,,,,,
FÍSTULA ANO RECTAL ANTERIOR.,ANTERIOR RECTAL ANO FISTULA.,,,,,
DOLOR METATARSOFALANGICO,METATARSOPHALANGIC PAIN,,,,N50.82,Scrotal pain
LESIONES LITICAS FEMUR DERECHO PROXIMAL,LITHIC INJURIES PROXIMAL RIGHT FEMUR,,,,,
RUPTURA LIGAMENTOS CARPO Y MUÑECA,RUPTURE OF CARPO AND WRIST LIGAMENTS,,,,,
TUOR GERMINAL EXTRAGONADAL NASOFARINGEO,NASOPHARYNGEAL EXTRAGONADAL GERMINAL TUOR,,,,,
EMBARAZO DE 35 SEMANAS.,35 WEEKS PREGNANCY.,,,,Z3A.08,8 weeks gestation of pregnancy
PERDIDA VISUAL OJO IZQ,LEFT EYE VISUAL LOSS,,,,H53.122,"Transient visual loss, left eye"
LESION LCA+ MENISCO RODILLA DERECHA,ACL INJURY+ RIGHT KNEE MENISCUS,,,,,
INSUF VENOSA MID,MID VENOUS INSUF,,,,M50.120,"Mid-cervical disc disorder, unspecified level"
CÁLCULO DE LA UNIÓN PIELOURETERAL DERECHA,CALCULATION OF THE RIGHT PIELOURETERAL JUNCTION,,,,,
ENFERMEDAD ÁCIDO PÉPTICA VS DISPEPSIA FUNCIONAL,PEPTIC ACID DISEASE VS FUNCTIONAL DYSPEPSIA,,,,,
ENF DISCAL C4-C5 C5-C6,ENF DISC C4-C5 C5-C6,,,,M50.221,Other cervical disc displacement at C4-C5 level
G1P0 EMBZO 40 SEM,G1P0 EMBZO 40 SEM,,,,,
CARCINOMA BASOCELULAR DE PIEL MIEMBRO INFERIOR DERECHO,BASAL CELL CARCINOMA OF THE SKIN OF THE RIGHT LOWER LIMB,,,,,
MASA MAMA IZQUIERDAD,LEFT BREAST MASS,,,,S20.112S,"Abrasion of breast, left breast, sequela"
INS VENOSA MII,INS VENOSA MII,,,,A81.83,Fatal familial insomnia
ANT CA DE COLON,ANT CA DE COLON,,,,A22.0,Cutaneous anthrax
"FRACTURA NASAL,MAXILAR Y MALAY IZQDA","NASAL, MAXILLARY AND LEFT MALAY FRACTURE",,,,,
COLELITIASISI SINTOMATIC,SYMPTOMATIC CHOLELITIASISI,,,,D72.820,Lymphocytosis (symptomatic)
OCIO ENNDOTORACICO DERECHO SINTOMATICO,ENDOTHORACIC LEISURE SYMPTOMATIC RIGHT,,,,,
CARCINOMA MAMA IZQ,LEFT BREAST CARCINOMA,,,,D05.02,Lobular carcinoma in situ of left breast
HERNIA INGUINAL IZQUIERDA REDUCTIBLE,REDUCTABLE LEFT INGUINAL HERNIA,,,,,
MASA OREJA IZQUIERDA,LEFT EAR MASS,,,,H60.332,"Swimmer's ear, left ear"
ENFERMEDAD DE MENIER,MENIER'S DISEASE,,,,H81.01,"Meniere's disease, right ear"
HT ADENOIDES/HT CORNETES,HT ADENOIDS/HT CORNETS,,,,,
LESIÓN EN LTI BTHESDA IV,INJURY IN LTI BTHESDA IV,,,,,
CAPSULITIS ADHESIVA HOMBRO IZQUIERDO,ADHESIVE CAPSULITIS LEFT SHOULDER,,,,M75.02,Adhesive capsulitis of left shoulder
TOSION TIBIAL INTERNA,INTERNAL TIBIAL TOSION,,,,B83.4,Internal hirudiniasis
TUMOR RENAL.,KIDNEY TUMOR.,,,,C7A.093,Malignant carcinoid tumor of the kidney
HIPERTENSION PORTAL .,PORTAL HYPERTENSION.,,,,K76.6,Portal hypertension
CATARATAS.,FALLS.,,,,R29.6,Repeated falls
HIPERTRODFIA DE ADENOIDES.,ADENOID HYPERTROPHY.,,,,J35.02,Chronic adenoiditis
MASA QUISTICA USTERO/ IUE,USTERO CYSTIC MASS/SUI,,,,,
"EMBARAZO DE 37,1 SEMANAS.",37.1 WEEKS PREGNANCY.,,,,Z3A.08,8 weeks gestation of pregnancy
NEFRECTOMIA DONANTE,DONOR NEPHRECTOMY,,,,Z52.4,Kidney donor
HERNIA UMBILICAL SINTOMÁTICA,SYMPTOMATIC UMBILICAL HERNIA,,,,K42.1,Umbilical hernia with gangrene
RUPTURA TENDON DE AQUILES DERECHO,RUPTURE OF RIGHT ACHILLES TENDON,,,,,
TUMOR EN REGION TENAR DE MANO,TUMOR IN HAND TENEAR REGION,,,,,
LESONES PERIANALES,PERIANAL INJURIES,,,,K64.5,Perianal venous thrombosis
HALLUX VALGUS DE PIE IZQUIERDO,HALLUX VALGUS LEFT FOOT,,,,M20.12,"Hallux valgus (acquired), left foot"
REEMPLAZO DE RODILLA DERECHA,RIGHT KNEE REPLACEMENT,,,,M23.41,"Loose body in knee, right knee"
QUISTE OSEO FRNTAL DERECHO,RIGHT FRNTAL BONE CYST,,,,M85.411,"Solitary bone cyst, right shoulder"
CARCINOMA NASAL,NASAL CARCINOMA,,,,R09.81,Nasal congestion
HIPERTROFIA ADENOIDES Y CORNETES,ADENOID AND CORNETA HYPERTROPHY,,,,,
HERNIA INCISIONAL,INCISIONAL HERNIA,,,,K43.1,Incisional hernia with gangrene
LESIONES CUTANEAS CARA.,FACE SKIN LESIONS.,,,,C44.300,Unspecified malignant neoplasm of skin of unspecified part of face
FRACTURA DE SENO FRIONTAL IZQUEIRDO,LEFT FRIONTAL SINUS FRACTURE,,,,,
LESION BASE DE LENGUA,BASE OF TONGUE INJURY,,,,C01,Malignant neoplasm of base of tongue
CRIPTORQUIDIA,CRYPTORCHIDIA,,,,,
NEVO MELANOCITIC0 DERECHO,RIGHT MELANOCYTIC NEVUS,,,,D22.111,"Melanocytic nevi of right upper eyelid, including canthus"
DISMENORREA Y MENORRAGIA,DYSMENORRHEA AND MENORRHAGIA,,,,N94.4,Primary dysmenorrhea
MASA MAMARIA,BREAST MASS,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
HERNIA INGUINAL DERCHA,RIGHT INGUINAL HERNIA,,,,N83.41,Prolapse and hernia of right ovary and fallopian tube
HEMATOMETRA,HEMATOMETRY,,,,,
G4P1A2-MACROSOMIA-EG 37,G4P1A2-MACROSOMIA-EG 37,,,,,
FX FEMUR ANTIGUA,FX OLD FEMUR,,,,,
TRAUMA A EN RODILLA DERECHA,TRAUMA TO THE RIGHT KNEE,,,,,
OTITIS MEDIA,OTITIS MEDIA,,,,H66.93,"Otitis media, unspecified, bilateral"
LABIO MENOR REDINDANTE,REDINDING LIP MINOR,,,,,
FIBRILACIÓN AURICULAR CRÓNICA,CHRONIC ATRIAL FIBRILLATION,,,,I48.20,"Chronic atrial fibrillation, unspecified"
ARRITMIA ESTUDIO,ARRHYTHMIA STUDY,,,,I49.9,"Cardiac arrhythmia, unspecified"
MASA EN PAROTIDA IZQUIERDA,LEFT PAROTIDAL MASS,,,,R19.02,"Left upper quadrant abdominal swelling, mass and lump"
REFLUO GASTROESOFAGICO,GASTROESOPHAGEAL REFLUUS,,,,K22.6,Gastro-esophageal laceration-hemorrhage syndrome
TUMOR DEDO EN PIE,TOE TUMOR,,,,Q69.2,Accessory toe(s)
POP OSTEOSINTESIS DE RADIO Y CUBITO DERECHOS,POP OSTEOSYNTHESIS OF THE RIGHT RADIO AND CUBA,,,,,
LESION GLOMICA MANO DERECHA,GLOMIC INJURY RIGHT HAND,,,,S67.21XS,"Crushing injury of right hand, sequela"
LESION COMPLETA DEL LCA,COMPLETE ACL INJURY,,,,G82.21,"Paraplegia, complete"
PSEUDOARTROSIS DE FEMUR Y TIBIA,PSEUDOARTHROSS OF FEMUR AND TIBIA,,,,,
CONDROMALACIA RODILLA IZQ,LEFT KNEE CHONDROMALACIA,,,,M94.262,"Chondromalacia, left knee"
ALTERACION LONGITUD MIEMBROS INFERIORES,LOWER LIMB LENGTH ALTERATION,,,,,
TESTICULO NO DESCENDIDO BILATERAL,BILATERAL UNDESCENDED TESTICLE,,,,Q53.20,"Undescended testicle, unspecified, bilateral"
SD TU NEL DEL CARPO,SD YOUR CARPAL NEL,,,,,
AMPUTACION TRAUMATICA DE DEDO,TRAUMATIC FINGER AMPUTATION,,,,S68.118S,"Complete traumatic metacarpophalangeal amputation of other finger, sequela"
ADENPOCA COLON,ADENPOCA COLON,,,,K63.5,Polyp of colon
FITULA ANAL,ANAL FITULA,,,,K59.4,Anal spasm
COLITIS ULCERATVA,ULCERATVA COLITIS,,,,K52.3,Indeterminate colitis
HIPERMETROPIA,FARSIGHTEDNESS,,,,,
TUMOR DE EXOCERVIX,EXOCERVIX TUMOR,,,,C53.1,Malignant neoplasm of exocervix
SD DE  TUNEL CUBITAL,CUBITAL TUNNEL SD,,,,,
RUPTURA DE MENISCO,MENISCUS RUPTURE,,,,M23.006,"Cystic meniscus, unspecified meniscus, right knee"
NIOMATOSIS UTERINA,UTERINE NIOMATOSIS,,,,O62.1,Secondary uterine inertia
"LESION PEDUNCULADA, GRANDE, DE UNOS 3 CM, EN LABIO MAYOR","LARGE PEDUNCULATED LESION, ABOUT 3 CM, ON THE LABIO MAJOR",,,,,
TUMOR MALIGNO DE GLANDE,Malignant tumor of the gland,,,,C7A.010,Malignant carcinoid tumor of the duodenum
PALADAR BLANDO HENDIDO,CLEFT SOFT PALATE,,,,Q35.5,Cleft hard palate with cleft soft palate
CORRECCION PALADAR HENDIDO,CLEFT PALATE CORRECTION,,,,Q35.5,Cleft hard palate with cleft soft palate
BOCIO MULTINODULAR  Y LESIONES  BETHESDA IV  IZQUIERDO,MULTINODULAR GOITRE AND LEFT BETHESDA IV LESIONS,,,,,
SINDROME DEL MANGUITO ROTADOR HOMBRO DERECHO,ROTATOR CUFF SYNDROME OF THE RIGHT SHOULDER,,,,,
MALOCLUSION,MALOCCLUSION,,,,M26.4,"Malocclusion, unspecified"
UROLITIASIS-LESION RENAL,UROLITIASIS-KIDNEY INJURY,,,,S37.001S,"Unspecified injury of right kidney, sequela"
ADENITIS  PREAURICULAR,PREAURICULAR ADENITIS,,,,Q18.1,Preauricular sinus and cyst
POLIPO EN ESTOMAGO,POLYP IN STOMACH,,,,K31.7,Polyp of stomach and duodenum
ESTENOSIS VIA LAGRIMAL OJO DERECHRIMAL OI,LACRIMAL DUCT STENOSIS RIGHT EYE LE,,,,,
ESTRECHEZ FORAMINAL L5S1,L5S1 FORAMINAL Narrowness,,,,,
MULTIPLES LIPOMAS,MULTIPLE LIPOMAS,,,,G35,Multiple sclerosis
VOMITOS A REPETICION,REPEATED VOMITING,,,,R29.6,Repeated falls
NECROSIS AVASCULAR CADERA DERECHA,AVASCULAR NECROSIS OF THE RIGHT HIP,,,,,
POLIPOS EN CUELLO VESICAL,BLADDER NECK POLYPS,,,,N32.0,Bladder-neck obstruction
ENGROSAMIENTO ANTROPILORICO,ANTHROPYLORIC THICKENING,,,,L85.9,"Epidermal thickening, unspecified"
ESTRECHEZ URETRAL-ITU A REPETICION,REPEATED URETHRAL Narrowness-UTI,,,,,
DETRUSOR HIPERACTIVO IDIOPÁTICO SECO,DRY IDIOPATHIC OVERACTIVE DETRUSOR,,,,,
PTERIGIO OJO IZQDO,LEFT EYE PTERGYGUM,,,,H44.322,"Siderosis of eye, left eye"
MASA ABDOMINOPELVICA ANEXIAL IZQUIERDA,LEFT ANNEXIAL ABDOMINOPELVIC MASS,,,,,
CUERPO EXTRAÑO II DEDO MANO DER,FOREIGN BODY II RIGHT HAND FINGER,,,,,
NODULO TIRODIEO DERECHO,RIGHT THYRODIAL NODULE,,,,M06.311,"Rheumatoid nodule, right shoulder"
HERIDA PENETRANTE GLOBO OCULAR,PENETRATING WOUND EYE BALL,,,,S05.40XS,"Penetrating wound of orbit with or without foreign body, unspecified eye, sequela"
HIPERTROFIA DE ORNETES,ORNET HYPERTROPHY,,,,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
SAHOS,OSAHS,,,,,
LESION LIGAMENTARIA COMPLEJA,COMPLEX LIGAMENTARY INJURY,,,,S83.231S,"Complex tear of medial meniscus, current injury, right knee, sequela"
TUMOR GLOMICO PULGAR DERECHO,RIGHT THUMB GLOMIC TUMOR,,,,,
SECUELAS FX DE TOBILLO DER INVETERADA,INVETERATE DER ANKLE FX AFTERMATH,,,,,
